#{"t_start": 1620967668.4467273, "env_id": "HalfCheetah-v3"}
r,l,t
23.737165,1000,6419.540324
24.206918,1000,6426.158848
23.61748,1000,6432.804138
24.750849,1000,6439.388081
24.782911,1000,6446.040267
23.675151,1000,6452.710237
24.195057,1000,6459.342825
24.829843,1000,6465.993484
24.262592,1000,6479.30268
24.44528,1000,6485.586903
24.293586,1000,6492.161062
23.550667,1000,6498.737787
24.891796,1000,6505.39997
25.022431,1000,6512.038634
23.517923,1000,6518.74227
24.794089,1000,6525.308165
23.500345,1000,6531.917102
24.018908,1000,6538.516989
24.879915,1000,6551.586729
24.859531,1000,6557.812397
23.74778,1000,6564.406755
24.575923,1000,6571.107066
24.297326,1000,6577.666143
24.013264,1000,6584.231743
24.217627,1000,6590.841815
23.828432,1000,6597.588511
24.712934,1000,6604.245396
24.5562,1000,6610.819541
23.849174,1000,6623.769681
24.688529,1000,6630.059545
24.610881,1000,6636.676255
24.200972,1000,6643.265037
24.221385,1000,6650.000735
24.01889,1000,6656.649583
24.699496,1000,6663.259137
24.557085,1000,6669.875181
23.717324,1000,6676.656182
24.910958,1000,6683.257691
24.515874,1000,6696.014292
25.016829,1000,6702.505916
24.385798,1000,6709.131374
24.872884,1000,6715.749835
24.657114,1000,6722.381542
24.211181,1000,6729.202255
25.329249,1000,6735.780056
24.813336,1000,6742.36923
25.138562,1000,6749.034822
24.4663,1000,6755.720664
24.488395,1000,6768.138495
24.73528,1000,6774.733176
24.565227,1000,6781.47562
25.223909,1000,6788.085752
24.865836,1000,6794.641685
25.458641,1000,6801.308201
24.392621,1000,6808.122589
25.32295,1000,6814.745286
25.151467,1000,6821.328721
23.880862,1000,6827.910871
25.158906,1000,6840.543376
24.386474,1000,6847.120228
23.875056,1000,6853.690621
24.789402,1000,6860.445241
24.369326,1000,6867.094167
24.96075,1000,6873.713229
25.294121,1000,6880.367897
25.041882,1000,6887.156008
24.563608,1000,6893.763492
24.266325,1000,6900.427487
25.495209,1000,6913.186278
24.841337,1000,6919.753458
24.797835,1000,6926.437149
