#{"t_start": 1595746395.970126, "env_id": "Hopper-v3"}
r,l,t
2.59653,451,2503.228186
5.693155,1000,2511.33821
3.971612,688,2516.644986
1.673827,422,2520.048106
5.185592,986,2527.790188
5.64502,979,2535.43999
4.590711,865,2542.158615
5.469849,1000,2549.94719
5.553507,1000,2558.027891
5.68643,977,2565.702233
5.728744,1000,2582.331054
5.53907,1000,2590.307103
4.222195,738,2596.149273
5.479212,1000,2604.312575
1.850152,299,2606.642102
5.654321,1000,2614.570449
5.175327,1000,2622.442867
2.761234,485,2625.976024
4.169847,744,2631.718877
5.420266,1000,2639.676051
5.651002,1000,2647.551567
4.702503,787,2653.79137
5.197953,1000,2670.324276
3.131259,599,2675.026934
4.615803,831,2681.718607
2.243737,435,2685.127099
5.372187,1000,2693.107717
1.966594,326,2695.608421
5.277345,1000,2703.620538
3.672445,718,2709.316927
3.921373,655,2714.295905
1.948641,389,2717.158788
3.986155,733,2722.883109
